Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	NDÄTHOT’I, HÑÄSÜMP O TE X E NI HNINI G A THO M’OND A 
Dictionary 	Fui al monte a buscar unos lagartos para comer y agarré uno negro y uno pinto; sus cuerpos son ásperos.	Dá ma ha ra mbonthi, dá honi ʼra ya tsaʼthi pa ga tsi y dá ju̱ ʼna ra mboi ha ʼnära bindo, pe xá ʼñädi yá ndoʼyo.
Dictionary 	El palo que esta largo córtalo con el fuego para que quede en dos pedazos.	Nuʼä ra za xa ma, tsäki ha ra tsibi pa dä gohi yoxe̱ni.
Dictionary 	Cuando el fumador no tiene dinero para comprar cigarros levanta colillas y las fuma, y unas tienen boquillas y otras no.	Ra ziʼyu̱i, nuʼbu̱ otho rá bojä pa da dai ra ʼyu̱i, ju̱tsʼi ya tsäkʼyu̱i tsu̱tʼi; ha ʼra ja yá ñäxu ha ʼra hina.
Dictionary 	El caballo que corría lo detuve por su mecate.	Ra fani mi nestʼihi dá tsämi ha ra nthähi.
Dictionary 	En la tienda tengo almacenados muchos refrescos.	Ha ra de̱nda dí tsämi ndunthi ya xito dehe.
Dictionary 	El hervor de la calabaza gorgotea; muévela, que se puede quemar.	Rá nthu̱ni ra mu dri mfo̱xni; ʼñäni, ʼme̱ dä zätʼi.
Dictionary 	La víbora siempre es fría.	Ra kʼeñä nzäntho xá tse̱.
Dictionary 	En octubre ya caen heladas.	Ra otubre, ya tagi ya tse̱.
Dictionary 	Adela, nubye̱ xi tse̱di ra sei.	Ra nä.
Dictionary 	La persona que se alimenta muy bien se robustece.	Ra jäʼi di ñuni xi xá ñho, xi tse̱di.
Dictionary 	Cuando hay viento fuerte es muy recio.	Ra bu̱nthi xi tse̱di nuʼbu̱ ʼyo.
Dictionary 	Es inflexible el rigor de la justicia, ¿quién la soportará?.	Xi tse̱di rá kue ra tsʼu̱ʼtuí, ¿toʼo dä ze̱ʼtuí?.
Dictionary 	La voz del maestro era muy fuerte.	Ra xahnäte, mi tse̱di rá noya.
Dictionary 	Ya se enfriaron las tortillas; ya desde hace rato las eché.	Ya bi tse̱gi ya hme, ya mäheʼbu̱ dá e̱ntʼi.
Dictionary 	Con la helada se ha congelado el agua.	Ko ra tse̱ xa tse̱gi ra dehe.
Dictionary 	Quien tiene calentura siente que hace frío el día.	Toʼo tsu̱di ra nzo̱ tsa ge di tse̱gi ra pa.
Dictionary 	Desde ayer hay niebla fría; yo creo que en alguna parte lejana ha helado.	Ya mände ja ra tse̱gui, dä ne ge ha xpá tagi ra tse̱ yabu̱.
Dictionary 	No comas tortillas frías, porque vas a criar lombrices.	Ogi tsi ya tse̱hme, ngeʼä mä gi pe̱ʼtsa ya matse̱.
Dictionary 	Corta ese brazo de árbol que se ha ladeado.	Tse̱ki nuni ra ʼye̱ ga za xa nkahmi.
Dictionary 	Mi papá está trozando árboles en la barranca.	Mä dada bí tse̱ki ya za ha ra hñe.
Dictionary 	Es necesario que machuques tus tablas, si no se van a enchuecar.	Mähyoni gi tse̱ʼmi ri xithe̱; nuʼbu̱ hinä dä ntsʼaki.
Dictionary 	El leñador está cortando árboles en la barranca.	Ra ze̱nza bí tse̱ni ya ʼbai ga za ha ra hñe.
Dictionary 	Le descalabré la cabeza a una persona con una piedra.	Dá tse̱ni rá ñäxu ʼna ra jäʼi ko ʼna ra do.
Dictionary 	El carnicero pica la carne sobre una tabla.	Ra mamngo̱ tse̱ni ra ngo̱ ha ʼna ra za.
Dictionary 	Ya vienen los aires fríos.	Ya xa ʼñepu̱ ya tse̱nthi.
Dictionary 	La hierba caliente es muy buena para el dolor de estómago de las mujeres que recién han dado a luz.	Ra tse̱ñʼethi xá ñho pa yá u̱mu̱i ya ʼbe̱hñä ja xkí me̱ʼtsa yá bätsi.
Dictionary 	Aunque esté esta aguamiel fría, me la tomo.	Mä dä gehnä ra tse̱tfi, ga tsi.
Dictionary 	Con la humedad los magueyes dan aguamiel desabrida.	Ya ʼuada ko ra xaha uni ra tse̱tfi.
Dictionary 	Los limones verdes aguantan, y los maduros no.	Nu ya ixkä pe̱ni xa nkʼami, nuʼu̱ tse̱ti; ha nuʼu̱ xa dä, hinä.
Dictionary 	Antes duraba cien años la gente.	Mähäʼmu̱ mi tse̱ti ʼnanthebe nje̱ya ra jäʼi.
Dictionary 	Hulio tse̱ti ra ʼñäntʼu̱.	Ra.
Dictionary 	Los faeneros están cortando las matas de mezquite para construir un camino.	Ya ungä ʼbe̱fitho, tse̱tʼi ya ʼbai ga tʼähi pa dä thoki ra ʼñu.
Dictionary 	El agua fría le hace mal a los ancianos.	Nuʼä ra tse̱the o̱ʼtua ra ñʼu̱ ya däkʼei.
Dictionary 	Nädo hinxa pe̱fibya, bí tse̱za ha ra hñe.	Ra.
Dictionary 	Mi esposo siempre se emborracha, porque toma demasiado pulque.	Mä däme nzäntho di nti, ngeʼä xi tsi ra sei.
Dictionary 	El enfermo ya no quería comer nada, pero ahora ya come tortillas.	Ra daʼthi ya hinte mi ne dä zi, pe nubya ya tsi ʼna ra zi hme.
Dictionary 	En las mañanas están muy hermosas las flores, porque absorben el rocío que cae del cielo.	Ya do̱ni, xi ra ʼñentho ʼbu̱ nxudi, ngeʼä tsi ra xaha nuʼä bí tagi mähetsʼi.
Dictionary 	La lumbre de la leña de mezquite dura mucho.	Rá tsibi ra za ga tʼähi, xi tse̱ti.
Dictionary 	Ese hombre nunca anda sin pistola.	Nuni ra ʼño̱ho̱, hindi ʼbe̱di rá tsibi.
Dictionary 	En mi pueblo hay dificultades por lo que pasó.	Ha mä hnini ja ra tsibi ko nuʼä bi nja.
Dictionary 	En la cola de la gallina ha nacido un pedazo de carne como la punta de un lápiz, esa es la glándula del aceite.	Ha rá tsʼu̱ ra o̱ni xa bo̱ho̱ ʼna xe̱ni ra ngo̱ ngu rá ntsʼä ra ntʼoza, geʼä rá tsibi.
Dictionary 	El Salitre Ja ʼna xe̱ni ra hai Nzinänä, tʼembi ra Tsihai.	Tsihai (Tsihai).
Dictionary 	El niño que come tierra tiene lombrices en el estómago.	Ra bätsi tsihai, ku̱ ya matse̱ rá mu̱i.
Dictionary 	Hay un insecto que le dicen xopepe, que come tortilla.	ʼBu̱ ʼna ra zuʼue tʼembi ra tsihme, ngeʼä tsi ra hme.
Dictionary 	El camaleón tiene dos cuernos.	Ra tsija, to̱ge yoho yá ndäni.
Dictionary 	Los caracoles siempre andan en los magueyes.	Ya tsimxi nzäntho ʼyo ha ya ʼuada.
Dictionary 	Tengo un borrego caracol de cuatro cuernos.	ʼBu̱ ʼna mä tsimxi ndäni.
Dictionary 	La helada caló en la mañana.	Ra tse̱ bi tsiʼmi mäxudi.
Dictionary 	La lluvia penetró adentro de la casa.	Ra ʼye bi tsiʼmi mbo ra ngu.
Dictionary 	El niño ya come chile.	Ra bätsi ya tsimʼi.
Dictionary 	Anteriormente los hombres usaban calzón blanco, con cinta en la cintura y abajo en la manga.	Mäʼme̱tʼo ya däme mi hä ya tʼaxa ze̱xjo, mi ja ya tsinda ha rá hñu̱ʼti ʼne ha yá uaxjo.
Dictionary 	A aquella muchacha le soltaron la cinta de sus enaguas; se la soltaron los traviesos que están sentados atrás de ella.	Nuni ra nxutsi bi sotua rá tsindango̱de, bi xoʼtuí ya xäkʼye̱ hudi mo̱te rá xu̱tha.
Dictionary 	La cinta de la manga de los calzones del muchacho se arrancó con las espinas cuando pasó corriendo.	Rá tsindauaxjo ra metsi, bi du̱gi ha ya ʼbini habu̱ bi thogi ra hnestʼihi.
Dictionary 	Mi padre está haciendo tomar pulque a una persona.	Mä dada bí tsiti ra sei ʼna ra jäʼi.
Dictionary 	Mi pastor se fue a abrevar a los chivos.	Mä maʼyo bi ma dä tsiti ya ʼyo.
Dictionary 	Los animales beben agua dos veces al día en donde andan.	Ya mboʼni bí tsithe yoʼki ra pa ha bí ʼyo.
Dictionary 	El abrevadero le dicen al lugar en donde siempre bebe el borracho.	Ra tsithe, tʼembi, habu̱ nzäntho tsithe ra ti.
Dictionary 	Nju̱nthe.	Ra bo̱jä ndusjäʼi tsitsʼi ra jäʼi pa.
Dictionary 	La sabiduría del hombre lo lleva a enorgullecerse.	Rá mfädi ra ʼño̱ho̱ tsitsʼi ha ʼna ra mfeni nse̱he̱.
Dictionary 	El mal espíritu seduce a la gente para que se vaya al infierno.	Ra tsʼondähi tsitsʼi ra jäʼi pa ha ra nidu.
Dictionary 	El aire frío de la helada penetra hasta adentro de la casa.	Rá hñä ra tse̱; tsiʼti ata mbo ra ngu ra tse̱.
Dictionary 	Caen moscas en la comida.	Tso ya ginʼue ha ra hñuni.
Dictionary 	Los ayates se venden rápido a buen precio.	Ya ʼronjua tsobya.
Dictionary 	Un anciano que conocí escupía saliva a cada paso que daba.	ʼNa ra tiyo dá nu, mi tsogi rá jihni nuʼbu̱ dä ʼyongä yá ua.
Dictionary 	Cuando ya estoy borracho vomito.	Nuʼbu̱ ya ga nti, dí tsogi mä hñuni.
Dictionary 	El caballo roe la reata cuando tiene hambre.	Ra fani tsoki rá nthähi nuʼbu̱ tsu̱di ra thuhu.
Dictionary 	El niño ya está mordisqueando la manzana que le dieron.	Ra bätsi ya bí tsoki ra ugi pe̱ni bi tʼumbi.
Dictionary 	Al burro lo he amarrado con cadena, porque troza los mecates.	Ra rekua, stá thätʼi ko ra to̱kbo̱jä; ngeʼä tsoki ra nthähi.
Dictionary 	Así como hablaste en otomí se entendió lo que expresaste en castellano.	Njabu̱ ngu gá mä ga hñähñu, tsomfeni nuʼä gá mä ga hñämfo̱.
Dictionary 	Mi padre deja pendiente la herencia; no se acuerda de repartirla.	Mä dada tsotho yá tsogi; hingi beni dä heke.
Dictionary 	Nada más consiente a los niños del vecino, y ellos se están acostumbrando.	Ra ʼnangu tsotho yá bätsi, ha nuyu̱ rí hñä ya mäñä.
Dictionary 	Dejan el maíz a los cosechadores.	Ya xofo tsotho ya de̱thä.
Dictionary 	Con el viento fuerte que hubo se cayó un árbol y machucó una casa.	Ko ra bu̱nthi bi nja, bi dagi ʼna ra za; ha bi zotsʼi ʼna ra ngu.
Dictionary 	Los lunes se empujan unos a otros por la prisa de llegar a donde van.	Ga nonxi tsotsʼi ra jäʼi rá mikʼei ko ra so̱ni ha rí mä.
Dictionary 	Tiene bochorno el enfermo por la enfermedad que padece.	Tsu̱ ra tsoxpa ra daʼthi ko nuʼä ra hñeni tsu̱di.
Dictionary 	El perro está royendo el hueso.	Ra tsatʼyo bí tsoʼtsi ra ndoʼyo.
Dictionary 	En el cielo hay muchas estrellas.	Ha mähetsʼi ja ndunthi ya tso̱.
Dictionary 	Estoy encendiendo lumbre para calentar mis tortillas.	Dí tso̱ge ra tsibi pa ga paʼti mä hme.
Dictionary 	Mi hijo llega acá cuando le dan descanso.	Mä tʼu̱ tso̱ho̱ nuʼbu̱ tʼumba ra tsaya.
Dictionary 	Allá, a la casa de la viuda, llega una persona.	Ha rá ngu ra ʼbe̱hñä se̱he̱, tso̱ni ʼna ra jäʼi.
Dictionary 	Ahora ya me visita mi consuegro.	Nubya ya tso̱nte mä so̱hni.
Dictionary 	Brinca para que alcances arrebatar la pelota.	Nsagi pa gi tso̱tsʼe gi hñäni ra nuni.
Dictionary 	Ya mero termino de tejer mi ayate.	Ya mä ga tso̱tsʼe mä ʼronjua.
Dictionary 	Mi novio teme hablar con mi papá.	Ma nobio tsu dä ñähuí mä dada.
Dictionary 	Hay una clase de frijol grande que le dicen frijol cimate; es grande como el haba.	Ja ʼna ra dänga ju̱ tʼembi ra tsuju̱; ngu rá ndängi ra däju̱.
Dictionary 	Los jardineros protegen el pasto para que nadie lo pise.	Ya nsudo̱ni di tsuni ra tʼe̱i pa hinto dä netʼi.
Dictionary 	Cuida la ropa blanca que te has puesto; procura no mancharla.	Tsuni ri tʼaxa dutu xká he, pa hingi tsʼoni.
Dictionary 	Tuesta una tortilla en el comal.	Tsustʼi ʼna ra hme ha ra doʼyo.
Dictionary 	Ya aumentó el precio del chicharrón.	Ya bi hñutsʼi rá muhuí ra tsutʼango̱.
Dictionary 	Cuando la mujer se alivia de su propia enfermedad, nada más pan dorado le dan para que coma.	Ra ʼbe̱hñä nuʼbu̱ ñäni nuʼä rá hñeni se̱he̱, ho̱nse̱ ra tsutʼathuhme tʼumbi dä zi.
Dictionary 	Me traes un kilo de chicharrón.	Uá hä ʼna mbe̱xo ra tsutʼi.
Dictionary 	Cuando tuestan la tortilla le llaman tortilla dorada.	Ra tsuʼthme tʼembi nuʼä ra hme xa tsutʼi.
Dictionary 	El zacate se quemó con la helada.	Ya zafri bi tsutʼi ko ra tse̱.
Dictionary 	Los pepenadores de maíz andan en la milpa pepenando el maíz que ha quedado.	Ya zu̱thä bí ʼyo ha ra huähi, bí tsu̱.
Dictionary 	Tiene bochorno el enfermo por la enfermedad que padece.	Tsu̱ ra tsoxpa ra daʼthi ko nuʼä ra hñeni tsu̱di.
Dictionary 	Nändo tsu̱di.	Rá huada ga de̱thä ra.
Dictionary 	Cuando gruñe el perro ya para morder, el amo lo regaña para que no muerda.	Nuʼbu̱ ge ra tsatʼyo ya pa dä ntsate, ra hmu tsu̱i pa hinte dä ʼyo̱tʼe.
Dictionary 	El ebrio le grita a su esposa.	Ra ti tsu̱i rá ʼbe̱hñä.
Dictionary 	Los pepenadores de frijol ya están pepenando.	Ya zu̱ju̱ ya bí tsu̱ju̱.
Dictionary 	Descuelga tus tortillas que están colgadas arriba.	Gi tsu̱ki ri hme zu̱di mäñä.
Dictionary 	Descarga lo que trae el camión.	Tsu̱ki nuʼä di hñä ra tsanza.
Dictionary 	Los segadores de alfalfa la siegan muy bien.	Ya hye̱kä hogä ndäpo, xi tsu̱mi ra alfafa.
Dictionary 	Cuando te trasquiles te rapas todo el cabello.	Nuʼbu̱ gi ʼñäxi gí tsu̱mi ra stä.
Dictionary 	El profesor regaña a los estudiantes cuando no hacen lo que les dice.	Ra xahnäte tsu̱te nuʼbu̱ hinga geʼä o̱tʼa ya xampäte.
Dictionary 	Los animales amamantan a sus hijos al criarlos.	Ya mboʼni tsu̱ti yá bätsi pa dä tede.
Dictionary 	Las flores chupan el agua cuando pasa encima de sus raíces.	Ya do̱ni tsu̱tʼi ra dehe nuʼbu̱ thogi mäñä yá ʼyu̱.
Dictionary 	El tlachiquero absorbe el aguamiel del maguey para sacarla con el acocote.	Ra ʼyafi tsu̱tʼi ra tʼafiʼuada ko ra ʼmifi pa huí.
Dictionary 	Vi a un ebrio que fumaba un cigarro.	ʼNa ra ti dá handi, tsu̱tʼi ra ʼyu̱i.
Dictionary 	Mi hijo ya fuma cigarros, y es muy joven todavía.	Mä tʼu̱ ya tsu̱tʼyu̱i, ha xi ra bäsjäʼitho.
Dictionary 	El pepenador de mazorcas pepena ya en la tarde.	Ra zu̱thä tsu̱thä ya ga nde.
Dictionary 	Aquel borracho hasta escurre el pulque.	Nuni ra ti ata tsu̱ʼti ra sei.
Dictionary 	No beses al bebé en la boca; le puedes trasmitir alguna enfermedad.	Ogi tsu̱ʼtsi ra ʼue̱ne ha ra ne, dä za gi ho̱xa ʼna ra hñeni.
Dictionary 	Ayer, enseguida que llegué a mi casa empezó a llover fuerte.	Tsʼa dá tso̱ni mä ngu mände, bi mu̱di bi huäʼmbi ra ʼye.
Dictionary 	Ya me salió la muela del juicio.	Mä gäxa tsʼafi, ya bi kʼontsʼi.
Dictionary 	El vareador de nuez se ha agarrado muy bien de los brazos del nogal.	Ra me̱tʼa de̱mza xi xa tsʼahni yá ʼye̱ ra de̱mza.
Dictionary 	Enchuecaron mucho la varilla.	Ra bariya bri tsʼaki ndunthi.
Dictionary 	Está chueco aquel palo.	Xá tsʼaki nuni ra za.
Dictionary 	Mpechuga, xi ra tsʼakaʼñu ha xi ra ntsʼuni.	Nuʼä ra däʼñu ri ma.
Dictionary 	Está muy bonito el día; ni está frío ni está caluroso.	Xi tsʼamähotho ra pa; nixa tse̱ nixa pa.
Dictionary 	Vi una muchacha muy hermosa hace rato.	Dá nu ʼna ra nxutsi mäheʼbu̱ xi tsʼamähotho.
Dictionary 	Las flores se ven muy lindas en las mañanas con el rocío.	Ya do̱ni xi tsʼamähotho ga xudi ko ra xaha.
Dictionary 	Con el huíngaro corto las hierbas de la orilla de la milpa.	Ko ra tsʼamne dí he̱ki ya ndäpo ha rá ñäni ra huähi.
Dictionary 	En la clausura hicieron una representación dramática de cómo en días pasados se raspaba el maguey, y cómo vendían el pulque en la casa.	ʼNa ra tsʼanango bi tʼo̱tʼe ha ra uadi; bi ʼñudi hanja mi tʼatʼi ra tʼafi ʼne mi pa ra sei ha ra ngu.
Dictionary 	Cuando levanta la pata la gallina, la encoge.	Nuʼbu̱ ju̱tsʼi rá ua ra o̱ni, di tsʼangi.
Dictionary 	La mata de aguacate se cargó de aguacates este año.	Ra ʼbai ga tsʼani bi hyo̱tsʼe nunä je̱yabya ga tsʼani.
Dictionary 	Sueltan el mecate bien torcido y luego se encoca.	Ra nthähi du̱ ra tsaha; ʼne dra tho̱ge, dä tsʼantsʼi ʼbestho.
Dictionary 	Xuua, ra tsʼastä ha ra ntso̱huí.	Ra.
Dictionary 	En el mero día de mercado me llevo vender leña, xite y ixtle de lechuguilla.	Xa tsʼatai dí hätsʼi ga pa ra zi za, ra xite̱ ʼne ra the̱xi.
Dictionary 	Aquel niño está amartillando aquella pistola de juguete.	Nuni ra bätsi di tsʼati nuni ra ntʼe̱ngä bo̱znä ga ntʼeni.
Dictionary 	El freno del caballo se descompuso.	Rá tsʼatne ra fani bi tsʼoki.
Dictionary 	Vamos, ayúdenme a sacar mi coche que está atorado en un arroyo.	Mä gi faxkahu̱ ga ju̱ki mä bo̱jä bí tsʼatʼi ha ʼna ra hñe.
Dictionary 	Con el frío me crujen los dientes.	Dí tsʼatsi mä tsʼi ko ra tse̱.
Dictionary 	Le sacas punta a mi lápiz para que escriba muy bien.	Mä ntʼoza gi tsʼä pa dä ʼñofo xá ñho.
Dictionary 	El extremo del cerro está muy hermoso.	Rá tsʼä ra tʼo̱ho̱, xi tsʼamähotho.
Dictionary 	A la persona que mataron con un puñal, en ninguna parte del cuerpo le ha salido sangre.	Ra jäʼi xa tho ko ra tsʼäjuai, hiñhäʼmu̱ ha ra ndoʼyo xa bo̱ni rá ji.
Dictionary 	Ahí viene un remolino; cierra los ojos para que no les entre tierra.	Xa ʼñepu̱ ʼna ra xe̱di, tsʼäntʼi ri da pa hinda zo ya hai.
Dictionary 	El maíz que sembré hace dos meses ya está lanceando, porque es maíz que nace pronto.	Ya tsʼänza ra de̱thä dá potʼi mayonzänä, ngeʼä ra xo̱ndithä.
Dictionary 	Hazle punta a una estaca para que amarre yo el caballo en medio de la milpa.	Tsʼätʼi ʼna ra za pa ga thätʼi ra fani mädetho ra huähi.
Dictionary 	Dicen que la persona que lleva ropa buena es elegante.	Tʼembi ra tsʼäʼtsi nuʼä ra jäʼi xa hñe ko ya hoga dutu.
Dictionary 	Hay ollas de distintos tamaños y para diferentes usos.	Ja ya tsʼe ʼraʼnaʼño yá ndängi ʼne ranʼañʼo yá ʼbe̱fi.
Dictionary 	Se comen las flores del quiote de lechuguilla.	Yá do̱ni ra tsʼebe di tsʼi.
Dictionary 	Atiza la leña de la olla de nixtamal y muévelo para que se haga el nixtamal.	Joʼtsua yá za ra tsʼensuni ha ʼñäni ra suni pa dä ʼye̱tʼi.
Dictionary 	El ratón chilla cuando lo agarra el gato.	Ra dängu tsʼi nuʼbu̱ dä mihi ra mixi.
Dictionary 	Näbo di tsʼihni ra mexa.	Ra.
Dictionary 	Los pollitos le chillan a su nana para que los acurruque.	Ya ntʼu̱ʼni di tsʼihnibi rá nänä pa dä huitsʼi.
Dictionary 	Las gentes le suplican al juez que les haga justicia.	Ya jäʼi di tsʼihni ra nzaya ge dä ʼyo̱ʼtua ra tsʼu̱tbi.
Dictionary 	Mi suegra visita a su nuera porque es muy buena persona.	Mä to bí kʼäʼtsi rá tsʼihue̱, ngeʼä xi ra hojäʼi.
Dictionary 	Tengo que buscar a quien regalarle mi gato porque tiene el hábito de comer conejos.	Pe̱ʼtsi ga honi habu̱ ga uni mä mixi, ngeʼä bi bätuí ra tsʼijua.
Dictionary 	El ocotillo tiene espinas y es de vara delgada.	Nuʼä ra tsʼikʼyä, tʼembi, ja yá ʼmini mäxo̱ge ha ra tsʼu̱tʼa za.
Dictionary 	La persona que no habla recio tiene voz delgada.	Tsʼimhñä tʼembi nuʼä ra jäʼi ra tsʼu̱tʼa noya.
Dictionary 	El pájaro que bebe el aguamiel del maguey se llama pájaro aguamielero.	Nuʼä ra tsʼintsʼu̱ tsi ra tʼafi ʼuada, tʼembi ra tsʼiʼmfi.
Dictionary 	El camino que hicieron lo hicieron muy angosto.	Ra ʼñu bi thoki, ntsʼe̱ bri tsʼiʼmi.
Dictionary 	Me apachurré el dedo con las piedras de cantera cuando las estaba acomodando en el camión.	Dá tsʼiʼmi mä ñäʼye̱ ko ya nthe̱ʼmä xido nuʼbu̱ ndí u̱tsʼi ha ra tsanza.
Dictionary 	Cuando se abrazan los compadres aprietan sus cuerpos uno a otro.	Nuʼbu̱ di hñu̱fi ya mbane di tsʼiʼmi yá ndoʼyo ʼna ngu ʼna.
Dictionary 	Tzindejé (balneario cerca de Tasquillo) Tsʼindehe tʼembi nuʼä ra nsaha ni Mäxei.	Tsʼindehe (Tsʼinděhe).
Dictionary 	Donde hay caminos angostos ocurren muchos accidentes, porque no se puede cruzar bien los camiones.	Habu̱ ja ya tsʼintʼñu xika ʼñänthi ja, ngeʼä hingi tsa dä mpontʼi xá ñho ya bo̱jä.
Dictionary 	Los pájaros negros se comen mucho las cosechas.	Ya tsʼintsʼu̱ xá mboi xi tsi ya sofo.
Dictionary 	Los animales bajan del cerro para beber agua en el jagüey.	Ya mboʼni bí käi ha ra tʼo̱ho̱ pa ehe ra tsʼithe ha ra zabi.
Dictionary 	A nuestra faringe le dicen gaznate.	Ra tsʼithe tʼembi mä tutʼihu̱.
Dictionary 	Se me amorataron las uñas de las manos porque me las machuqué en las piedras.	Xa moji mä saha ha mä ʼye̱, ngeʼä dá tsʼitsi ha ya do.
Dictionary 	Cuando se cerró la portezuela del coche me oprimió la mano.	Nuʼbu̱ bi njotʼi rá gosthi ra bo̱jä, bi tsʼitsi mä ʼye̱.
Dictionary 	Dängä Tsʼu̱tbi pa dä hñuʼtsua yá thähä.	Ya me̱fi tsʼitsi ra.
Dictionary 	Los perritos chiquitos le chillan a su nana para que les dé de mamar.	Ya tʼu̱ka tsatʼyo di tsʼiʼti rá nänä pa dä tsu̱ti.
Dictionary 	La esposa de mi tío lo corrió y luego se fue a rogarle; por eso regresó.	Rá ʼbe̱hñä mä tiyo bi gui; ʼnepu̱ bi ma bi tsʼiʼti pa bá pengi mänʼaki.
Dictionary 	Aquella mujer fue a suplicarle mucho al presidente para que soltaran a su marido que había quedado preso.	Nuni ra ʼbe̱hñä bi ma bá tsʼiti ra tsʼu̱tbi, pa bi tho̱kua rá däme xkí gohmä ntsʼähni.
Dictionary 	A mi paciente le da asco la comida que le dan en el hospital.	Mä daʼthi di tsʼo ra hñuni tʼumbi ha rá ngu ra ntʼo̱the.
Dictionary 	Le dicen calostro a la primera leche que mama la cría pequeña.	Tʼembi ra tsʼoʼba nuʼä ra mu̱di kʼastʼa ʼba tsu̱tʼa ra tʼu̱nthfani.
Dictionary 	Hay personas que le hacen mal de ojo a los niños, y si no se les cura, se mueren.	ʼBu̱ ra jäʼi di tsʼoda ya bätsi, ha ʼbu̱ hinda tʼo̱the, dä du.
Dictionary 	Estaba muy bonita mi milpa de calabazas, y nada más las vio una persona con ojos de desprecio y se marchitaron.	Mä huähi ga mu xi mi tsamähotho, ho̱nse̱ bi hyanda ʼna ra tsʼoda gä jäʼi bi duʼu̱.
Dictionary 	El mal borracho, cuando está ebrio, a cualquiera maldice y con cualquiera quiere pelear.	Ra tsʼodäti, nuʼbu̱ dä nti, toʼo ra za tsani ha toʼo ra za ne dä ntunhui.
Dictionary 	En este mes unas personas murieron asesinadas.	ʼRa ya jäʼi bi du ga tsʼodu nunä zänäbya.
Dictionary 	Cuando no le dan para su compra a la esposa, pone mala cara.	Ra ʼbe̱hñä nuʼbu̱ hingi tʼumbi pa ra nthai, huxa ra tsʼohmi.
Dictionary 	Me fui al centro en mi camión, y en el camino se descompuso.	Dá ma tai ko mä tsanza; ha nuni maʼñu bi tsʼoki.
