ShaShiYaYi 	¿Por qué sigue el sufrimiento en nuestro pueblo?	¿Paita abisatsine anampiki eirorika atijayetajitsi?
ShaShiYaYi 	En los diferentes niveles de pesca, mis paisanos pescan peces	YOTANTS Kantashiyetachari ashimatantyari Iyoibentiri11 ashaninka ishimatantyariri shimape
ShaShiYaYi 	Le pregunta: “¿Cuál es el número mínimo de captación? ¿Cuál es el número mínimo de captación?”	Piyotakero: ¿Jaoka okarati pikoimenta kaniyati pointantyari aparo beshintsachari?
ShaShiYaYi 	¿Qué comprendieron los paisanos?	¿Paita iñabentakojeitiri ashaninkapaye?
ShaShiYaYi 	Quién es el dueño de la casa?	Akenkitsatakotero tsika opaita antayeteri aririka abetsike amatsairentsi
ShaShiYaYi 	Son zonas de la ciudad donde no hay yuca, sus ríos y sus ríos.	Irotake aparopeki nampitsi tekatsi kaniri ibiaretajiari imireyetyari aisati yobajiari
ShaShiYaYi 	(El piojo)	( ) Oretsi ch
ShaShiYaYi 	La niñez es la niñez y las circunstancias de la vida, los políticos y las historias.	Pisampiteri jananekipe piyotantyari paita ikenkeshiriajeitakari, irokantacha piñanatabakerotsita kenkitsarentsi
ShaShiYaYi 	Los avisos que vienen en la noche, cuando vieron colgado [el árbol] de hojas de pescado y queso, llegaron a ser paujil, sankati, monos, carne, venado y sajino.	Inchato okamantayete Aririka iñajero ontyakipaitetaje inchato shimashiri jero ketaki, ari ikejitiri tsamiri, sankati, osheto, kitsa, maniro aisati kitairiki
ShaShiYaYi 	Su nieto estaba echada afuera, ja-ja, ahí recoje la pequeña	Ikantirikea Ipashibentanaka ishirontanaka iji, iji, ijiii ari yobanakero tsotajaniki
ShaShiYaYi 	¿Qué es lo que nos da nuestros paisanos? Allí hay un huerto, una chimicua, un maíz y una tinaja.	¿Jaoka okantari yayetiro ashaninka yobayetari kempetachari kiri, shaaki, pamaki, toniroki aisati chomoiki?
ShaShiYaYi 	En los diferentes lugares de la tierra donde viven mis paisanos y en el verano.	Akenkitsatakotero kantashiyetachari kipatsi iyojeitiri ashaninka impoiji asankenatakotero betsikairentsikira
ShaShiYaYi 	El niño es el dueño de la chacra, pensando en él.	Piñanatero kantakotantsi piyotantyari paita okantakotiri, piñabentakotimaintyaro
ShaShiYaYi 	El profesor en jefe, otro miembro del cerro, el agua, y el titular de la hoja	Akemisanteri obametantatsiri inkenkitsatakotero pashini obairo otishi, nija, ompoña ashiyakantero sankenapanaroki
ShaShiYaYi 	El presidente de la República, cuyo compañero de trabajo es Abireil, quien vive con su nieto, es el mejor de todos.	Abireri Perani1, Abireri2 itsipatarini isaiki ibankoki icharinepe, mapero antaberenti
ShaShiYaYi 	Dígale a este niño que se comporte bien en el cielo	Pinkanteri jananeki iñatsatyaro ñakarontsipata ibetsikajeitakeri
ShaShiYaYi 	Si tu hermano se entera, siéntate bien, y coloca un petate sobre él ”.	Piyotakerorika paita pikenkitsatakoteri, pisaikajeite kametsa, paye shitashintsi pisaikajeitantyari
ShaShiYaYi 	¿Cómo te atreves a llamar a tu hermano cuando está allá?	¿Tsika pikantiro pamakobentyari piratsipaye ejati antami
ShaShiYaYi 	¿La persona que la trae antes de la casa?	¿Jaoka impoitirori aririka abetsike pankotsi?
ShaShiYaYi 	La cortina de tu mano	Obetsikayetiri akope
ShaShiYaYi 	Los patios de los ríos y los patios de los mares, lagos de agua y los corredores para la selección de los parámetros de eficiencia puede ser el criterio de eficiencia;	Kirinkasati jeri katonkosati saikatsapijatirori nija te itantoteroni ibankope kemperi osheki yoiriasanoti
ShaShiYaYi 	La mujer, por su parte, se enteró de la situación, y le dijo a su esposo: “ No vayas a la fiesta de bodas, ni a la fiesta de bodas, ni a la fiesta de bodas, ni a la fiesta de bodas.	Irokantacha ora ijina okisaka, okantiri ojime: "Paitampame ayeari, pijabeteketi anta Tampoki pimpitasataite terika pincharijataite paita abakayeariri atomi"
ShaShiYaYi 	Una persona de la comunidad de Pitsati les dice: “Aquí les van a enseñar tamales, Autogobiernos para tomar y Mariscallos.	Ikenkitsati aparoni ashaninka Pitsasati ikanti: "Aririka iroijatempi kamari, ontimatye pishiye, pishonkayetanakiaro inchatope"
ShaShiYaYi 	¿Por qué habrá de esperarse un hijo mío?	¿Paita abisatsine eirorika ipinkatsatiro aparo ashaninka sabikatsiri?
ShaShiYaYi 	Así es que él va a ser el líder todos los días mientras va cojeando y él sigue siendo igual.	Ari ankantero kitaiterikipaye, irojati añantabajiaro airitanaje (aritanake) abatsa irojati ashitantanajia (ashitanake) achekakara (atsekakeri)
ShaShiYaYi 	El cuñado mató a la cushma, en cambio, las iguanas que viven en el agua superficial.	Kishokari ikantiri koshoshka Irinti nijaberi atiriyetatsiri ishi ishiayetari kirinko kametsaini
ShaShiYaYi 	¿Cuáles son sus derechos?	¿Tsika okarati katiyanajanchari?
ShaShiYaYi 	Ari okantari , para que lo piquen los pajaritos, les dice a sus pollitos, para que crean en los pajaritos, cuando les pegues para que no se vayan [a pescar].	Ari okantari, pikajentakeri iritake ibainiki tsimeri, ikanti nocharine, eiro akajentiritsi, inebetantyarori ishitikia tsimeripaye, aririka pikajentakeri eiro ishitikatsi ari omirakemi
ShaShiYaYi 	Mi papá llevó sus flechas y sus arcos, mi mamá llevó y empezó a bañarse.	Apa yaanake isabirite aisati ichakopite, ina aanake oyantiri impoiji oyotsirote
ShaShiYaYi 	¿Lo trae tu hermana [la hermana]?	¿pamakerika tsipanashi kapichaji, oshekimpa?
ShaShiYaYi 	Se acerca el pájaro afaisano, dijo: “Buenos días, señorita, voy a poner barro en mi pita.”	Yaretapaka ibankoki kayetsi, ikantapake: Aninko, pimperoketi pitsiro ompiteabakerita noyobintsane
ShaShiYaYi 	Cuando ya estaban en el agua, le dijeron a sus hijos: “Vamos a ver a mi paisano que está en el agua”.	Ari ipiyajeitanaja nijaki ikantapajiri itomipaye, tsame amenajeri ashaninka peaka
ShaShiYaYi 	Mi paisano lo saludó y luego lo envió	Piñanajeitero ikantiri ashaninka impoiji piñabentakotero
ShaShiYaYi 	La rehabilitación de la infraestructura hidráulica en la niñez, la rehabilitación, la rehabilitación, la rehabilitación, la rehabilitación, la rehabilitación, la rehabilitación, la rehabilitación y la rehabilitación.	Apiyapaje yotantsipankoki akenkitsatakotapero okantakota yantayeteri antarikonape onkanteta jananekipe antaritantyari antekatsite kametsa, ñapero ankantya
ShaShiYaYi 	¿Qué alegría sintieron los políticos por escuchar los instrumentos?	¿Kmoshire ikantajeitanaka atiripe ikemabakero ñantsi?
ShaShiYaYi 	El profesor camina en la aprobación, donde le cortan el uso de agua superficial, donde está la calidad del agua.	Iramitakotaje obametantatsiri ankekishiriabajero jaoka akantakero akakero sampitantsi obakeraini jaoka okanta obariperotantari nija
ShaShiYaYi 	“Vamos a preguntar a la autoridad federal federal si existen o no aves sobre la tierra o el mar, ¿cómo vamos a hacerlo?”	Tsame añapainteri yotinkari ibankoki asampiteri ikantakota piratsipe aisati tsimeripe obariro abankirepe jaoka ankanteri amishiyantyariri
ShaShiYaYi 	No dejes de hablar a la gente acerca de este asunto.	Papitajero piñanatajero kenkitsarentsi, pakimaityaro sampitantsi
ShaShiYaYi 	¿Has compartido otras historias que hemos tenido que escuchar?	¿Piyoti pashini kenkitsarentsi ñabentakotirori shimatantsi?
ShaShiYaYi 	El ushate es la uña de las piedras vivas.	Pichakopiatero ibajiro shiyakantsi ñabentaintachari ñanarentsiki
ShaShiYaYi 	¿Qué tomaron?	¿Paita yajeitiri?
ShaShiYaYi 	Tenemos que crear el Sistema Nacional de Información Estadística y Geográfica	Ontimatye pikobayete kiribiroki timayetatsiri yotantsipankoki ñanatakoyetirori matsatantsi aisati ponkatantsi
ShaShiYaYi 	¿Por qué han dejado sus historias?	¿Paitatya abisatsineri kenkitsarentsiki?
ShaShiYaYi 	Clasificación y extinción de la demanda.	Akamanteri yotantsi okarati maroni añakeri
ShaShiYaYi 	Los Ashaninkas y el Poder Ejecutivo de los Derechos Humanos descansan allí.	Ashaninka Shipibo - Konibo Ikantakoyetiri tsantsapakori jeri parari
ShaShiYaYi 	Se hizo tan grande que no se puede sembrar encima de la tierra ni debajo de los graneros, ni debajo de las cenizas, ni debajo de las cenizas.	Peayetaka, tema te apankitajero abanekipe tonkaireki, potsitakiri, chomontyoki aisati tsibitaroki
ShaShiYaYi 	Me llamo 215 Katiyapetswagen, para usar un listón lleno de energía del profesor: para educar en la niñez, los dibujos de la moza son difíciles de moler.	Nopajita 215 Katiyapentsakirope ashiyakabentantyarori oshekiantsipe Antayeteri obametantatsiri: Pikenkeshiriakajeri jananekipe yantajeitakeri okantakota ipotsoyetero katiyapentsakirope ikarayetira shiyakantsipe
ShaShiYaYi 	Miren! No puedo hacer ni una sola cosa por mi propia tierra, porque de ella salve a muchos pájaros.	Eiro noshinetiro noipatsite, iro nañantari narori impoiji piratsipe, tsimeripe, shimape
ShaShiYaYi 	Le reivindiqué a tu paisano todas las cosas que tenía y lo que se quedó con él, para que no se desperdicie nada más.	Meka pikenkitsatakayeri maroni pishaninkape paretakoyetakari, impoiji pisampiyetempa ¿Paita abisantayetari aberakoyetaka?
ShaShiYaYi 	¿Qué hacemos con los árboles que tenemos? ¿Para qué descansamos con los que están vivos?	¿Paita anteri inchatoki ajaterika ¿Paita amabentyari ajaterika añatsatya?
ShaShiYaYi 	Pero si los reptiles que se han sembrado en la tierra son los que primero se cosechan y luego se echan al fuego,	Ipiyajeitani irobaneki ipankititanakari yabijeitantajiari manitikaki, kiri, sanko jero pashinipe
ShaShiYaYi 	Nieta mía, ¡vamos a pensar bien!	NoshaNiNka, ¡Tsame ankenkishirempa kametsa!!!
ShaShiYaYi 	Les vas a cantar una canción en el camino.	Pikenkitsajeitajero pikemakeri ñabetantsiki
ShaShiYaYi 	Los animales que se alimentan de esos reptiles y de los animales que se alimentan de esos animales, tienen la capacidad de distinguir entre sí lo que se siembra.	Aririka, anchakitake inchatomashi, yora poshinirintsipe, inchatope, inchashipe otimabeitani eiro añajirotsi
ShaShiYaYi 	Mi paisano paterno no tiene remedio.	Maroni Iyotanepe ashaninka te ontsiparianetyaji
ShaShiYaYi 	“¿Por qué me dejó bastante?”	Sh m k ¿Paitari obaritentsi akeri osheki?
ShaShiYaYi 	Los hijos de los pájaros se meten en las noches, viven en las noches, viven en las noches, viven en las noches, viven en las noches	Piratsipaye opoña tsimeripaye anitatsiri tsiteniriki, okimotanentati iroki aisati osheki ikemayempitati, irotake iñantari tsiteniriki irima anitatsiri kitaiteriki orianini iroki
ShaShiYaYi 	La reina del Sur se levantará en el día del juicio y condenará a todos los impíos por todas las malas obras que han cometido,	Okametsasanoti maroni yotantsipe, irokantaincha, ontimatiye ayotakotabakero ayotane arori saikakayeri kametsa ayotantyarori iyotane pashinipe atiri
ShaShiYaYi 	Regular la información de los sumos sacerdotes, ¿qué he aprendido en este libro?	Ayojeitajero okantakoyeta obashirontsi Apatotantatsiri ¿Paita noyoteri yotantsikika?
ShaShiYaYi 	Respeta las cosas que hacen.	Pipinkatsatero ikantayetiri pitsipamintsare
ShaShiYaYi 	El Presidente de la Cámara de Senadores se ocupa de la Cámara de Senadores y de la Cámara de Senadores.	Antaberentsi Yobametsatiro charija7 niri Janika antirori Nobametsatajero nantabere nontsipatyari notsipabintsare aisati obametanari
ShaShiYaYi 	– Realizar estudios en el ámbito de la política exterior y de la política exterior de la casa	Antayetero ainijantyarori ayotakeri Aka antabeirentsiki noyoyetake iyotane ashaninka paita ibetsikantaro pankotsipe
ShaShiYaYi 	¿Qué son las adolescentes verdaderas dentro de la cárcel?	orijanikisanori 4 ¿Tsika okarati obayetachari saikatsiri intsompoikika aparope monkarontsikika?
ShaShiYaYi 	Nuestra preparación de la Ley	Abetsikantyari shimperi Obetsikantanakeari shimperi
ShaShiYaYi 	Se sacan la mochila del murciélago para jugar: “Lo golpean y lo hacen flotar [las ranas] en las ramas del cepillo, para que pase la flecha y dé lugar a la acción de la piña.	Ichekaitiro obato paroto iñaatsatyari: Ishariakirorika, Ibatikakiro, yoisotake opatishiki akiparentsi, jaanikarika kantakirone yanteetero, iriitake ayirine akiparentsi
ShaShiYaYi 	Mi abuela tiene 44 años.	Manoiri timatsi 44 tokiti
ShaShiYaYi 	El jefe de la comunidad come comejenes para los trabajadores	Piñabentakotero paita yarobantaitarori pankirentsipe abanontantyari
ShaShiYaYi 	El fin de la protesta es parte de las organizaciones de usuarios, para evitar que se afecten rápidamente o para evitar que se acabe el trabajo.	Ayojeiti maroni ariorika ajate ayete akoityayetiri tomirishiki timayetatsi antayeteri terika akamiyeteri ashiyetarori ayeri ipantabakerori intsipaite aisati atsonkantyarori intsipaite antabere
ShaShiYaYi 	Pareciera que está volando para sacar piñas.	Pipajiriero tsika opaiyeta abintantyari ashimatantyari
ShaShiYaYi 	Tenemos mucha hierba.	Osheki ashepatsati
ShaShiYaYi 	Capítulo de cuenca	Piñanatajero opoña pakero sampitantsipaye
ShaShiYaYi 	Cuando se transformaban [en el monte], a causa de la multitud, empujó a una mujer a su cama.	Arika yanibete antamishiki, te yamenabete okantakantiro otikakeri iyantirepe ikijakotiri
ShaShiYaYi 	Nuestros cuerpos están identificados con el fin de identificar a las personas que habitan la comunidad.	Ikantajeiti anampiki maroni obaritentsi abayetari irotake kantakayeri jaoka akantari
ShaShiYaYi 	¿Cuál es el volumen de la isla?	¿Jaoka okanta akempoiro abatsa?
ShaShiYaYi 	Se van, exigimos que nos digan qué clase de personas son.	Aja, otimatye ayotero tsika asankenatero antarotsapa
ShaShiYaYi 	La soga está sobria pero está vacía.	( ) Ibetsikaitantaro shimperi kepiatonki jero shibitsa
ShaShiYaYi 	Entonces le adelantó el manto y comenzó a echarle mano.	Ari isapokakero itsare impoiji ikemitabaka ¡tik,tik,tik!
ShaShiYaYi 	La aprobación de la goma que se ha hecho al inicio y después lo que se ha ensuciado	Ampitabajero ankajeitero sampitantsipe antakeri inkaranki impoiji ankenkitsajeitero akayetakeri
ShaShiYaYi 	¿Por qué están durmiendo los discípulos de la señora?	¿Paita itirijeitantarori shipibope ana iboroki?
ShaShiYaYi 	Todo esto, lo que les pasa a los guerreros no les gusta ver el color negro donde se arrodillan los hombres en el templo	Okarati timayetatsiri, akobayetiri ayeri timatsi ari añakero tsankini tsika janta ayeroka akobayetiri antayetantyari
ShaShiYaYi 	Koshoshko y su nieto le dijeron a Koshosko: “Caray, vamos a sembrar el hamaca con las semillas que tiene”.	Koshoshko jeri icharine Ikanti Koshosko: "Charine, tsame apankiyetajero inchatope timatsiri oitsoki yatsoitiri"
ShaShiYaYi 	¿Cómo voy a ir mi paisano?	¿Tsika añeroka ashaninka ajatashiteri?
ShaShiYaYi 	Responde.	Pamenasanoyeteri aparope shiyakantsi
ShaShiYaYi 	¿Cómo se dice que está bebiendo maíz, frijol, frijol, frijol, yuca?	¿Tsika ikantaitsiro ikimpoyetsiro shinki, machaki, inki, kajaiki, kaniri?
ShaShiYaYi 	¿Cuál es el tomo original?	¿Jaoka intarori?
ShaShiYaYi 	El hijo legítimo del hombre tiene derecho a la participación en la agenda de desarrollo;	Piñanatero okantiri sampitantsipe impoiji piabentakotero, piyotantyari irorika okantiri pikenkishiriakari
ShaShiYaYi 	La soga está al lado de la soga larga, la soga grande para las patas	Irakero shibitsa kisoperori irishitikayetakero otsobapeki shibitsara okiantyari iiti
ShaShiYaYi 	Debes reunirte con tres medios de comunicación, uno solo, para que los creyentes tengan un cuarto donde acomodar a Bernabé y a tu padre, a ⁇  y a ⁇  en tu reino.	Timatsi3 antaberentsi pantayeteri apaniro aisati pinkarateri pitsipamintsare impoiji antaberentsipe pinkoakoteriri obametaimiri jeri piri, picharine, pisaro, pishaninkape iramitakotantyamiri
ShaShiYaYi 	Los diez cuernos de carnero son cada una de las partes del cuerpo que desciende del altar.	Piñanajeitero kantakotantsika piyotantyarori tsika okanta isankenaitiro, pisankenatantyari abirori
ShaShiYaYi 	Este es el gran poder de los reyes de la tierra. Él es el dueño de todas las cosas.	Yoka tsimeri irinti aparoni itasorentsite acharineiteni, iritsirontaro kaniri, iritake shentirori
ShaShiYaYi 	La avispa de semillas de los árboles y la avispa	Ankonoero oitsoki inchato jero samantoshi
ShaShiYaYi 	El manacaraco es bueno para la preparación de alimentos.	Pakayetero sampitantsipaye pobetsikantyarori kametsa pisankenateri
ShaShiYaYi 	Mi tío paterno se pegó un animal el día	Pishiyakabenteri oriatsiri, piratsiki anitatsiri kitaiteriki
ShaShiYaYi 	¿Qué le hace el anciano?	¿Tsika okantika osankenaitoki betsikakotantsi?
ShaShiYaYi 	La amarra del río que rodea la canasta	Pikobakotero ashitanitachari ompoke yotantsipankoki oinijaye jaoka ikantetiro ibetsiketiro kantiri
ShaShiYaYi 	Vamos a construir nuestra casa	Aye abetsikantyari potsorentsi
ShaShiYaYi 	Un venado protege un canasto para protegerlo contra la lluvia.	Ajatitamanakea kapichakitaite eiro yanakotantetsi maniro ipankitapero itityonkiji
ShaShiYaYi 	¿Por qué las mujeres pescan hombres? ¿Quién?	¿Oshimatantaro tsinanepe ishimatantari shirampari?¿Paitakia?
ShaShiYaYi 	El pájaro carpintero avisa a los niños cuando ya se acercan a la chacra.	Pisankenate ejati antarotsapa bairontsiki ejati arika etanakia sankenarentsi
ShaShiYaYi 	Vamos a coger un brazo del profesor	Tsame abetsikajero aparoni irampitakote obametantatsiri
ShaShiYaYi 	Los pescadores pescadores y el papagayo cantaban	Ibetsikayetiri shiakantsiyetachari kempeni shimape aisati chapape
ShaShiYaYi 	La tierra es de color negro y la arena negra en las piernas	Ankonoero kipatsi kisaari jero samantoshi atemaintyaro boorisaki
ShaShiYaYi 	Así está hombres que son dueños de la maíz para sembrar en la chacra.	Ari ikantaitatya irika atiri ashitarori shinki ipankita obaantsikipe
